id	category	utterance	plan
multipleEventsSubject		What is my meeting called?	theEvent0.subject.get
multipleEventsStart0		When is my event called Team meeting?	"theEvent(called(""Team meeting"")).start"
mutipleEventsStart1		When is Planning?	"theEvent(called(""Planning"")).start"
multipleEventsStart2		When is my meeting with Brad?	"theEvent(with_(""Brad"")).start"
multipleEventsStart3		When does my meeting start today?	theEvent(queryAt(today)).start
mutipleRecurrentEventsStart		When is stand up?	"theEvent(called(""stand up"")).start"
multipleEventsEnd0		When does my event called Team meeting end?	"theEvent(called(""Team meeting"")).end"
multipleEventsEnd1		When does Planning end?	"theEvent(called(""Planning"")).end"
multipleEventsEnd2		When does my meeting with Brad end?	"theEvent(with_(""Brad"")).end"
multipleEventsEnd3		When does my meeting today end?	theEvent(queryAt(today)).end
multipleEventsLocation0		Where is my event called Team meeting supposed to take place?	"theEvent(called(""Team meeting"")).location"
multipleEventsLocation1		Where is Planning taking place?	"theEvent(called(""Planning"")).location"
nextMultipleEventsLocation		Where is my next event?	theEvent(next[Event]).location
multipleEventsLocation2		Where is my meeting with Brad located?	"theEvent(with_(""Brad"")).location"
multipleEventsLocation3		Where is my meeting today located?	theEvent(queryAt(today)).location
multipleEventsIsAllDay		Is Team meeting an all day event?	"theEvent(called(""Team meeting"")).isAllDay"
multipleEventsIsCancelled		Is my event called Team meeting cancelled?	"theEvent(called(""Team meeting"")).isCancelled"
multiEventsCurrentUserIsOrganizer		Am I organizer of Team meeting?	"theEvent(called(""Team meeting"")).organizerIs(me)"
multipleEventsOrganizerQuery		Am I organizer of Standup?	"theEvent(called(""Standup"")).organizerIs(me)"
multipleEventsAttendees		Who is invited to the Vacation?	"theEvent(called(""Vacation"")).attendees.all"
multipleNextEventsAttendees		When is my next event with Kelly?	"theEvent(next[Event] and with_(""Kelly"")).start"
multipleOneonOneEventsAttendees		When is my next one on one with Abby?	"theEvent((next[Event] and isOneOnOne) and with_(""Abby"")).start"
multipleFirstEventsStart		What time is my first meeting tomorrow?	theEvent(nth[Event](1) and queryAt(tomorrow)).start
multipleNthEvents		What time is my third meeting tomorrow?	theEvent(nth[Event](3) and queryAt(tomorrow)).start
multiEventStart		What time does my first event on Monday begin?	theEvent(nth[Event](1) and queryAt(Monday)).start
multiNthEventsStart		What time does my second event on Monday begin?	theEvent(nth[Event](2) and queryAt(Monday)).start
multipleLastEventsStart		What time is my last meeting?	theEvent(last[Event]).start
howLongNextMultipleEvents		How long until my next event	durationFromNow(theEvent(next[Event]).start)
multipleEventsAttendeeStart		When is that event with Brad tomorrow?	"theEvent(with_(""Brad"") and queryAt(tomorrow)).start"
multiplePastEventsDurationSince		How long has it been since the Interns meeting?	"durationSince(theEvent((isPast and called(""Interns meeting""))).end)"
whereMultipleNextEvents		Where is my next meeting?	theEvent(next[Event]).location
durationMultipleNextEvents		How long is my next meeting?	theEvent(next[Event]).duration
multipleOneOnOneWithAttendee		when does my one on one with Brad start?	"theEvent(isOneOnOne and with_(""Brad"")).start"
lastMultipleEventsTodayStart		When does today's last event start at?	theEvent(last[Event] and queryAt(today)).start
lastMultipleEventsToday		What is today's last event?	theEvent(last[Event] and queryAt(today))
eventStartLastMultiple		When's my last meeting on Monday?	theEvent(last[Event] and queryAt(Monday)).start
lastMultipleEventsTodayDuration		How long is today's last event?	theEvent(last[Event] and queryAt(today)).duration
firstMultipleEventsWithAttendee		What time does my first event with Kelly start on Friday?	"theEvent((nth[Event](1) and with_(""Kelly"")) and queryAt(Friday)).start"
twoAttendeesMultipleEvents		How many people are invited to my SM Leads meeting tomorrow?	"theEvent(called(""SM Leads meeting"") and queryAt(tomorrow)).attendees.otherPeople.size"
