id	category	utterance	plan
FenceCheckAvailability8	p3	When is my Standup event?	"theEvent(called(""Standup"")).start"
AfterAndRightAfterSingleEvent	p0	What do I have right after yoga	"findEvents(rightAfter(theEvent(called(""yoga""))))"
EventLocationByTitle	p2	Where's Planning?	"theEvent(called(""Planning"")).location"
delete05	p3	Cancel my meeting with Brad tomorrow	"deleteEvent(theEvent(with_(""Brad"") and queryAt(tomorrow)))"
delete06	p3	Cancel my Planning on August 12th	"deleteEvent(theEvent(called(""Planning"") and queryAt(August /& 12)))"
callHerSalientHistoryOneshot	p1	Call her	call(callWith(her))
currentUserResponseStatus	p2	How did I reply to Planning?	"theEvent(called(""Planning"")).currentUserResponseStatus"
Query at date time	p0	What do I have at 6 pm tomorrow?	findEvents(queryAt(6.pm on tomorrow))
eventOnADate - change date	p1	What do I have on Saturday?	findEvents(queryAt(Saturday))
multiEventsAttendeesBySubject		Who is required at Standup?	"theEvent(called(""Standup"")).attendees.withType(AttendeeType.required)"
nextOneOnOne	p0	When is my next 1:1?	theEvent(next[Event] and isOneOnOne).start
lastMultipleEventsTodayDuration		How long is today's last event?	theEvent(last[Event] and queryAt(today)).duration
First turn refer using client context get existing status - no conflict	p1	Am I free then?	availabilityIncludingMe(createAt(that[Interval[Instant]])).nonEmpty
	p0	Schedule a party with Kim, David and Dan this Memorial Day at 5 pm	"createEvent(((called(""party"") and with_(""Kim"")) and with_(""David"")) and with_(""Dan"") and createAt(5.pm on (`this`[Date] /& Holiday.MemorialDay)))"
10 Create with date time eyes off	p0	Create an event next Monday at 9 am	createEvent(createAt(9.am on (next[Date] /& Monday)))
QueryOnDateWithMonthWeek	p0	What do I have in the week of 15th August?	findEvents(queryAt(theDate(August /& 15).weekInterval))
Query by date tomorrow - clobber today afternoon	p1	What are my meetings tomorrow?	findEvents(queryAt(tomorrow))
EventLocationByTitleOnline	p2	Where's Standup?	"theEvent(called(""Standup"")).location"
queryBySubject2	p0	What do I have on my calendar named team chats?	"findEvents(called(""team chats""))"
MakePlanningEvent2	p0	Make a planning event	"createEvent(called(""planning""))"
findPerson	p0	Who is David?	"thePerson(""David"")"
createWithUnknownAttendeeEyesOff	p0	Create a meeting with Jane	"createEvent(with_(""Jane""))"
callMyTeamOneshot	p1	Call my team	call(callWith(me.communicationTeam))
	p0	Schedule a parent teacher conference with Kim, Damon and Kelly last Friday at 9 am	"createEvent(((called(""parent teacher conference"") and with_(""Kim"")) and with_(""Damon"") and with_(""Kelly"")) and createAt(9.am on (last[Date] /& Friday)))"
callingPersonTypeNotSupportedError	p1	Call Karl	"call(callWith(""Karl""))"
	p0	Create a meeting with David at 5pm today	"createEvent(with_(""David"") and createAt(5.pm on today))"
createWithFractionalDuration1	p1	Set up a 3/4 hour meeting.	createEvent(lastsFor((3/4).hours))
sayPersonNonePhone	p0	What is Abby's phone number?	"thePerson(""Abby"").phoneNumber"
createTonight	p0	Create an event tonight.	createEvent(createAt(tonight))
setStatusAppearAwayWithMessage	p2	Set my status to appear away and say I'm away	"setStatus(setStatusToWithMessage(UserStatus.AppearAway, ""I'm away""))"
clobberLaterRelative - multiple conditions	p0	Schedule a meeting with Jesse	"createEvent(with_(""Jesse""))"
callMyManagerOneshot	p1	Call my manager	call(callWith(me.manager))
